year,number,currency,country,parameter
2017,"1,000,000,000",usd,US,defence
2018,"1,400,000,000",usd,US,defence
2019,"1,800,000,000",usd,US,defence
2020,"2,100,000,000",usd,US,defence
2021,"3,100,000,000",usd,US,defence
2022,"4,000,000,000",usd,US,defence
2023,"4,800,000,000",usd,US,defence
2024,"5,700,000,000",usd,US,defence
2025,"8,500,000,000",usd,US,defence
2017,"100,000,000",usd,US,offence
2018,"209,170,000",usd,US,offence
2019,"318,340,000",usd,US,offence
2020,"614,870,000",usd,US,offence
2021,"888,350,000",usd,US,offence
2022,"1,133,570,000",usd,US,offence
2023,"1,378,790,000",usd,US,offence
2024,"1,624,010,000",usd,US,offence
2025,"1,869,230,000",usd,US,offence
2026,"14,358,907,085",usd,US,defence
2027,"18,666,579,211",usd,US,defence
2028,"24,266,552,974",usd,US,defence
2029,"31,546,518,866",usd,US,defence
2030,"50,474,430,186",usd,US,defence
2031,"80,759,088,297",usd,US,defence
2032,"129,214,541,275",usd,US,defence
2033,"206,743,266,041",usd,US,defence
2034,"330,789,225,665",usd,US,defence
2035,"529,262,761,064",usd,US,defence
2026,"2,428,676,000",usd,US,offence
2027,"2,914,411,200",usd,US,offence
2028,"3,497,293,440",usd,US,offence
2029,"4,196,752,128",usd,US,offence
2030,"6,295,128,192",usd,US,offence
2031,"9,442,692,288",usd,US,offence
2032,"14,164,038,432",usd,US,offence
2033,"21,246,057,648",usd,US,offence
2034,"31,869,086,472",usd,US,offence
2035,"47,803,629,708",usd,US,offence
