question,a,b,c,d,answer,source,quality_score,incorrect_answer
Which of the following is the most effective way to protect against phishing attacks?,Regularly updating antivirus software,Using a firewall,Enabling two-factor authentication,Training employees to recognize and report suspicious emails,D,llm,90,False
What is the purpose of a Security Information and Event Management (SIEM) system?,Blocking unauthorized network traffic,Encrypting sensitive data,Aggregating and analyzing log data from multiple sources,Performing regular vulnerability scans,C,llm,100,False
"Which of the following is an example of a ""zero-day"" vulnerability?",A known software flaw with an available patch,A weakness in a firewall configuration,A previously unknown vulnerability being actively exploited,An insider threat from a disgruntled employee,C,llm,100,False
Which of the following is the most secure method for storing sensitive data?,On a password-protected spreadsheet,In an encrypted database with access controls,On a USB drive kept in a locked drawer,In a cloud storage service with a strong password,B,llm,100,False
What is the primary benefit of conducting regular penetration testing?,Identifying and patching vulnerabilities before attackers can exploit them,Improving network performance and reducing latency,Ensuring compliance with industry regulations,Updating antivirus software definitions,A,llm,80,False
Which of the following is the most critical step in incident response?,Containing the breach to prevent further damage,Identifying the attacker's motives,Notifying law enforcement agencies,Restoring all systems to normal operation,A,llm,80,False
What is the purpose of multi-factor authentication?,To make passwords easier to remember,To reduce the risk of unauthorized access even if a password is compromised,To encrypt data transmitted over the network,To scan for malware on a device,B,llm,85,False
What is the primary purpose of a Security Information and Event Management (SIEM) system?,To prevent unauthorized access to a network,To detect and respond to security incidents,To encrypt sensitive data,To train employees on security best practices,B,llm,90,False
Which of the following is an example of a secure coding practice?,Using deprecated functions,Failing to validate user input,Implementing proper error handling,Storing passwords in plain text,C,llm,95,False
What is the main goal of incident response?,To prevent all security incidents,To detect security incidents as quickly as possible,To minimize the impact of a security incident,To eliminate the need for security controls,C,llm,85,False
Which of the following attacks is not included in the USB-IDS-1 dataset?,Hulk,TCPFlood,Slowloris,SQL Injection,D,usb-ids-1-paper,100,False
What effect does the Reqtimeout defense module have on the Slowloris attack?,Completely mitigated the attack,Delayed the drop in server throughput,Caused Slowloris to generate more packets,Had no significant impact on Slowloris,C,usb-ids-1-paper,90,False
"Given an alert from an EDR tool, what artifacts would you collect from the endpoint to determine if the activity is malicious?",Process memory dump,Registry hives,Network connections,All of the above,D,llm-gcih,100,False
You discover backdoor malware on a critical server. What should be your first step to limit damage?,Patch the vulnerability exploited by the malware,Isolate the server from the network,Attempt to remove the malware,Notify the server owner,B,llm-gcih,100,False
Which Sysinternals tool is most useful for investigating a suspicious process on a workstation?,Process Explorer,Autoruns,PsFile,Handle,A,llm-gcih,100,False
"In addition to isolating an infected server, what other step is crucial for preservation of evidence?",Creating a full disk image,Patching the server,Running antivirus scans,Restarting the server,A,llm-gcih,100,False
"When analyzing the network connections of a suspicious process with Process Explorer, what would most strongly indicate maliciousness?",Large number of child processes,Unsigned executable file,Connections to many unique remote IPs,GUI application without a visible window,C,gcih,75,False
You are investigating a suspected insider threat. Which data source is least likely to be useful?,Email logs,Web proxy logs,badge reader logs,Host firewall logs,D,llm-ctf,100,False
"Which Wireshark display filter will show only HTTP traffic containing the word ""password""?","http contains ""password""","tcp contains ""password""","http.request.uri contains ""password""","http.authorization contains ""password""",A,llm-ctf,90,False
What is the best way to identify lateral movement by an attacker?,Look for processes running under unexpected user accounts,Check for logins to network devices,Review DNS logs for suspicious queries,Analyze network flows for large data transfers,A,llm-ctf,100,False
You find a malicious script in the web root of a compromised server. What should you do first?,Restore the server from backup,Analyze the script in a sandbox,Search for similar scripts on other servers,Update WAF rules to block the script,B,llm-ctf,90,False
What is the most reliable way to confirm data exfiltration in network logs?,Large FTP transfers to external IPs,Connections to known bad IPs,DNS requests to DGA domains,Correlating flows with file modification times,D,llm-ctf,80,False
"When analyzing a malware memory dump, what is most useful for identifying its capabilities?",Imported DLLs,Strings in process memory,Mutexes,Function names,B,llm-ctf,70,False
